address,transactions,count
0x9db396969b2e964329027346c51190aaf8870968,"arbitrum->zksync,zksync->arbitrum",2
0x49f11d244883adca303eb6d2ad44b741a68426be,"arbitrum->zksync,zkevm->arbitrum,linea->zkevm,base->linea,arbitrum->base,zksync->arbitrum,nova->zksync,arbitrum->nova,zksync->arbitrum,ethereum->zksync,zksync->ethereum,zksync->arbitrum,nova->zksync,zksync->nova,nova->zksync,zksync->nova",16
0x0b271485f3b6df3df0174ea1855b626a0810a872,"optimism->base,zksync->linea,arbitrum->optimism,zksync->arbitrum,base->ethereum,zksync->base,arbitrum->zksync,linea->zksync,base->arbitrum",9
0xb08cf8da21e58ee882e67a5be41ba1ed2e4b83fa,"arbitrum->zksync,zksync->arbitrum,zksync->linea",3
0xa2df5770b8cb729529b45e50343daabc20d31c43,"arbitrum->base,optimism->arbitrum,zksync->optimism",3
0x740d6aaf70f28bfc2d059cbe6261049ed52d50cb,"optimism->zksync,zksync->optimism",2
0x159f21bc20c70ffa5854312f95ef5a41181c4592,"nova->zksync,zksync->nova",2
0x76babb228f46a6abc846121539f63daad109f09f,"nova->zksync,zksync->nova",2
0x3073d5b74032f336ead05d0bf06881a600e9b96b,"nova->zksync,zksync->nova",2
0x0008906ca2e1d42dfb6bbcda7f9b709a0cfa8dfc,"arbitrum->zksync,zksync->arbitrum",2
0xea3d0f8fc5b9437727a658c2a1fd1ecd9692f382,"arbitrum->zksync,zksync->arbitrum",2
0x0aa5244f1402c0c06aeac321e2ae2c27d7e16446,"arbitrum->zksync,zksync->arbitrum",2
0x04f0251ce9c2ce4df82232305e1d2aab56652e98,"nova->zksync,zksync->nova",2
0x7ddf71e0767f72592c14659d5c6aecb5cf4e2360,"optimism->zksync,zksync->optimism",2
0x2934b977a021cf58becd30ce44962ba3abf21823,"arbitrum->nova,zksync->arbitrum",2
0x723fe7abcf5f50ab60d6f6e8d47273f2b124ee1a,"arbitrum->zksync,optimism->arbitrum,arbitrum->optimism,zksync->arbitrum",4
0xbaec36d75b6fd15948de511f8166bc22bd840245,optimism->zksync,1
0x85893cc28f86c3138e1e3f888b16466e8accafc6,"zksync->nova,zksync->ethereum",2
